query	qlen
C-type_lectin-like_type-II_membrane_protein__YP_233047__Vaccinia_virus__10245	159
C-type_lectin_domain_containing_protein__YP_009408578__NY_014_poxvirus__2025360	124
C4L_C10L-like_family_protein__YP_010377015__Monkeypox_virus__10244	316
CD47-like_integral_membrane_protein__YP_009408539__NY_014_poxvirus__2025360	275
CD47-like_protein__NP_938384__Yaba_monkey_tumor_virus__38804	266
CD47-like_protein__YP_010377147__Monkeypox_virus__10244	277
CD47-like_putative_membrane_protein__YP_233044__Vaccinia_virus__10245	277
CD47-lilke_protein__YP_010085619__Akhmeta_virus__2200830	277
CM2_protein__YP_089658__Influenza_C_virus_-C_Ann_Arbor_1_50-__11553	139
CPXV002_protein__NP_851781__Cowpox_virus__10243	65
CPXV004_protein__NP_851579__Cowpox_virus__10243	71
CPXV006_protein__NP_619794__Cowpox_virus__10243	619
CPXV008_protein__NP_619796__Cowpox_virus__10243	672
CPXV009_CDS__NP_619797__Cowpox_virus__10243	153
CPXV010_protein__NP_619799__Cowpox_virus__10243	215
CPXV011_protein__NP_619800__Cowpox_virus__10243	658
CPXV012_protein__NP_619801__Cowpox_virus__10243	69
CPXV013_protein__NP_619802__Cowpox_virus__10243	523
CPXV014_protein__NP_619803__Cowpox_virus__10243	202
CPXV016_protein__NP_619805__Cowpox_virus__10243	764
CPXV017_protein__NP_619806__Cowpox_virus__10243	435
CPXV018_protein__NP_619807__Cowpox_virus__10243	171
CPXV019_protein__NP_619808__Cowpox_virus__10243	796
CPXV020_protein__NP_619809__Cowpox_virus__10243	170
VP2__YP_008798236__Gyrovirus_Tu243__1415627	231
VP2__YP_008798239__Gyrovirus_Tu789__1415628	225
VP2__YP_009030018__New_Jersey_polyomavirus-2013__1497391	232
VP2__YP_009058897__Bufavirus-3__1391667	572
VP2__YP_009237905__Norovirus_GIV__262897	242
VP2__YP_009352868__LI_polyomavirus__1965344	247
VP2__YP_009507719__Orungo_virus__40058	960
TNF_receptor_CrmC__YP_010085635__Akhmeta_virus__2200830	184
TNF_receptor__YP_009408396__NY_014_poxvirus__2025360	180
putative_DNA-binding_phosphoprotein__YP_232938__Vaccinia_virus__10245	101
putative_DNA-binding_virion_core_protein__NP_042099__Variola_virus__10255	312
putative_DNA-binding_virion_core_protein__NP_938298__Yaba_monkey_tumor_virus__38804	308
putative_DNA-directed_RNA_polymerase_II__NP_050176__Human_betaherpesvirus_6B__32604	759
putative_DNA-directed_RNA_polymerase__NP_050273__Human_betaherpesvirus_6B__32604	759
putative_E1_peptide__YP_009227304__Human_pegivirus_2__1729141	191
putative_E1_protein__NP_803202__GB_virus_C__54290	360
putative_E2_peptide__YP_009227303__Human_pegivirus_2__1729141	354
putative_E2_protein__NP_803203__GB_virus_C__54290	312
putative_E4_protein__YP_003084350__Human_papillomavirus_116__915428	128
nucleocapsid_protein,_partial__AVT44115__Severe_fever_with_thrombocytopenia_syndrome_virus__1003835	115
nucleocapsid_protein__ACA49104__Avian_metaavulavirus_2__2560313	457
nucleocapsid_protein__NP_054707__Mumps_orthorubulavirus__2560602	549
nucleocapsid_protein__NP_056918__Measles_morbillivirus__11234	525
nucleocapsid_protein__NP_073556__Human_coronavirus_229E__11137	389
nucleocapsid_protein__NP_150083__Bovine_coronavirus__11128	448
nucleocapsid_protein__NP_828858__SARS_coronavirus_Tor2__227984	422
nucleocapsid_protein__NP_899213__Machupo_mammarenavirus__11628	564
nucleocapsid_protein__YP_003771__Human_coronavirus_NL63__277944	377
nucleocapsid_protein__YP_006504092__SFTS_virus_HB29__992212	245
DR1__YP_009458635__Human_betaherpesvirus_6A__32603	689
DR1__YP_009458641__Human_betaherpesvirus_6A__32603	689
DR6__YP_009458636__Human_betaherpesvirus_6A__32603	389
DNA_replication_origin-binding_helicase__NP_851868__Macacine_alphaherpesvirus_1__10325	874
VP2__YP_009538342__Norovirus_GI_Hu_JP_2007_GI.P3_GI.3_Shimizu_KK2866__1529909	215
VP2__YP_009555234__Norovirus_GII__122929	258
U1_protein__YP_009505515__Ekpoma_virus_2__1987021	175
U24A__YP_009458637__Human_betaherpesvirus_6A__32603	57
U25__NP_042918__Human_betaherpesvirus_6A__32603	316
U26__NP_042919__Human_betaherpesvirus_6A__32603	295
U29__NP_042922__Human_betaherpesvirus_6A__32603	299
U2__NP_042893__Human_betaherpesvirus_6A__32603	366
U2_protein__YP_009505516__Ekpoma_virus_2__1987021	168
U32__NP_042925__Human_betaherpesvirus_6A__32603	88
U33__NP_042926__Human_betaherpesvirus_6A__32603	470
U34__NP_042927__Human_betaherpesvirus_6A__32603	276
U35__NP_042928__Human_betaherpesvirus_6A__32603	106
U36__NP_042929__Human_betaherpesvirus_6A__32603	484
U37__NP_042930__Human_betaherpesvirus_6A__32603	264
membrane_protein_UL10__NP_783772__Human_herpesvirus_5__10359	258
VP1__YP_008798238__Gyrovirus_Tu243__1415627	356
VP1__YP_004243705__Human_polyomavirus_9__943908	371
membrane_protein_UL14__YP_081473__Human_betaherpesvirus_5__10359	327
U56__NP_042949__Human_betaherpesvirus_6A__32603	296
E4_ORF1__YP_009246446__Bat_mastadenovirus_WIV11__1788433	137
E4_ORF2__YP_009246373__Bat_mastadenovirus_WIV9__1788436	125
E4_ORF2__YP_009246406__Bat_mastadenovirus_WIV10__1788432	125
E4_ORF2__YP_009246445__Bat_mastadenovirus_WIV11__1788433	125
E4_ORF3__YP_009246372__Bat_mastadenovirus_WIV9__1788436	133
E4_ORF3__YP_009246405__Bat_mastadenovirus_WIV10__1788432	133
E4_ORF3__YP_009246444__Bat_mastadenovirus_WIV11__1788433	133
E4_ORF4__YP_009246371__Bat_mastadenovirus_WIV9__1788436	250
VP2__NP_056822__Norovirus_GI__122928	212
VP2__NP_694475__Banna_virus_strain_JKT-6423__649604	954
VP1_protein__NP_740386__Parechovirus_A__1803956	230
VP1__YP_717939__Betapolyomavirus_hominis__1891762	362
VP1__NP_056821__Norovirus_GI__122928	530
VP1__NP_740437__Aichi_virus_1__1313215	278
VP1__NP_817122__Torque_teno_virus_1__687340	770
VP1__NP_859021__Aichivirus_B__194965	267
VP1__YP_001111258__Betapolyomavirus_tertihominis__1891764	378
VP1__YP_001285487__WU_Polyomavirus__440266	369
VP1__YP_002302227__Rotavirus_A__28875	1088
VP1__YP_002586775__Human_bocavirus_2c_PK__1511882	667
VP1__YP_002808456__Human_bocavirus_3__638313	668
VP1__YP_002956080__Cosavirus_E__2003651	278
G_protein-coupled_chemokine_receptor-like_protein__NP_938268__Yaba_monkey_tumor_virus__38804	346
G_protein__YP_009505517__Ekpoma_virus_2__1987021	630
Gag-Pol_Transframe_peptide__NP_787043__Human_immunodeficiency_virus_1__11676	56
Gc_glycoprotein__YP_006519139__SFTS_virus_HB29__992212	511
Glutaredoxin-1__YP_010377058__Monkeypox_virus__10244	108
Glutaredoxin-2__YP_010377070__Monkeypox_virus__10244	124
Glutaredoxin_1__YP_009408448__NY_014_poxvirus__2025360	110
Glycoprotein_B__NP_050220__Human_betaherpesvirus_6B__32604	830
Glycoprotein_L__NP_050261__Human_betaherpesvirus_6B__32604	250
E3_12.5K__YP_009246396__Bat_mastadenovirus_WIV10__1788432	127
E3_12.5K__YP_009246435__Bat_mastadenovirus_WIV11__1788433	127
E3_ORFA__YP_005271198__bat_adenovirus_3__2758098	382
E3_envelope_protein__NP_741965__Venezuelan_equine_encephalitis_virus__11036	59
E3_protein__NP_740645__Eastern_equine_encephalitis_virus__11021	63
E3_protein__NP_740683__Ross_River_virus__11029	64
E3_protein__NP_740708__Onyong-nyong_virus__2169701	64
E3_protein__NP_818939__Western_equine_encephalitis_virus__11039	60
E3_protein__NP_818999__Barmah_Forest_virus__11020	67
E3_protein__NP_819005__Semliki_Forest_virus__11033	66
E4,_partial__YP_004169288__Human_papillomavirus_132__909331	121
E4,_partial__YP_009362310__Human_papillomavirus_type_85__652810	95
E4,_partial__YP_009552552__Gammapapillomavirus_sp.__2049444	121
E4_34K__YP_009246369__Bat_mastadenovirus_WIV9__1788436	269
E4_34K__YP_009246402__Bat_mastadenovirus_WIV10__1788432	269
E4_34K__YP_009246441__Bat_mastadenovirus_WIV11__1788433	269
E4_ORF1__YP_009246374__Bat_mastadenovirus_WIV9__1788436	137
E4_ORF1__YP_009246407__Bat_mastadenovirus_WIV10__1788432	137
E2_protein__YP_003084349__Human_papillomavirus_116__915428	398
E2_protein__YP_008433329__Human_papillomavirus_179__1472342	399
E2_protein__YP_009022060__Human_papillomavirus_178__1478160	401
E2_protein__YP_009272637__Hepatitis_C_virus_genotype_4__33745	363
E2_protein__YP_009272649__Hepatitis_C_virus_genotype_5__33746	364
E2_protein__YP_009272682__Hepatitis_C_virus_genotype_7__1544901	367
E2_protein__YP_009507314__Human_papillomavirus_204__1650736	388
E2_protein__YP_009508232__Human_papillomavirus_184__1472343	405
E3S__YP_009246365__Bat_mastadenovirus_WIV9__1788436	99
E3S__YP_009246398__Bat_mastadenovirus_WIV10__1788432	99
E3S__YP_009246437__Bat_mastadenovirus_WIV11__1788433	99
E3_12.5K__YP_009246363__Bat_mastadenovirus_WIV9__1788436	127
E2_protein__NP_740646__Eastern_equine_encephalitis_virus__11021	420
E2_protein__NP_740684__Ross_River_virus__11029	417
E2_protein__NP_740709__Onyong-nyong_virus__2169701	423
E2_protein__NP_818940__Western_equine_encephalitis_virus__11039	423
E2_protein__NP_819000__Barmah_Forest_virus__11020	421
E2_protein__NP_819006__Semliki_Forest_virus__11033	422
E2_protein__YP_001491551__Hepatitis_C_virus_genotype_3__356114	369
E2__YP_009553525__Gammapapillomavirus_sp.__2049444	385
E2__YP_009553532__Gammapapillomavirus_sp.__2049444	401
E2_envelope_glycoprotein__NP_740663__Rubella_virus__11041	282
E2_envelope_glycoprotein__NP_741966__Venezuelan_equine_encephalitis_virus__11036	423
E2__YP_009553512__Gammapapillomavirus_sp.__2049444	390
E2__YP_009553519__Gammapapillomavirus_sp.__2049444	390
E2__YP_009553035__Gammapapillomavirus_sp.__2049444	398
E2__YP_009553022__Gammapapillomavirus_sp.__2049444	384
E2__YP_009552558__Gammapapillomavirus_sp.__2049444	396
U76__NP_042969__Human_betaherpesvirus_6A__32603	646
VP6__YP_009507716__Lebombo_virus__40057	312
VP6__YP_009507726__Orungo_virus__40058	286
VP6__YP_002302229__Rotavirus_A__28875	397
VP6__NP_694479__Banna_virus_strain_JKT-6423__649604	425
VP5__YP_009507723__Orungo_virus__40058	519
VP3__YP_008126855__Human_rotavirus_B__10942	763
VP3__YP_008798240__Gyrovirus_Tu789__1415628	111
VP3__YP_009030019__New_Jersey_polyomavirus-2013__1497391	187
VP3__YP_009352869__LI_polyomavirus__1965344	171
VP3__YP_009507713__Lebombo_virus__40057	981
hemagglutinin-neuraminidase_protein__YP_009512955__Avian_metaavulavirus_8__2560318	577
transforming_protein_E5__NP_041330__Human_papillomavirus_type_16__333760	83
tegument_serine_threonine_protein_kinase__YP_009137087__Human_alphaherpesvirus_1__10298	518
E7_protein__YP_003084347__Human_papillomavirus_116__915428	98
E7_protein__YP_008433327__Human_papillomavirus_179__1472342	95
E7_protein__YP_009022058__Human_papillomavirus_178__1478160	95
E7_protein__YP_009507312__Human_papillomavirus_204__1650736	92
E7_protein__YP_009508230__Human_papillomavirus_184__1472343	97
E8_protein__NP_040306__Mupapillomavirus_1__334203	63
EBNA-1__YP_001129471__Human_herpesvirus_4_type_2__12509	641
EBNA-2__YP_001129441__Human_herpesvirus_4_type_2__12509	454
EEV_glycoprotein_-1-__YP_010377142__Monkeypox_virus__10244	181
EEV_glycoprotein_-2-__YP_010377143__Monkeypox_virus__10244	168
EEV_glycoprotein__NP_938378__Yaba_monkey_tumor_virus__38804	182
EEV_glycoprotein__YP_233039__Vaccinia_virus__10245	168
EEV_host_range_protein__NP_938395__Yaba_monkey_tumor_virus__38804	268
EEV_maturation_protein__NP_042080__Variola_virus__10255	635
EEV_maturation_protein__NP_938282__Yaba_monkey_tumor_virus__38804	641
EEV_maturation_protein__YP_010377039__Monkeypox_virus__10244	635
EEV_membrane_glycoprotein__NP_042219__Variola_virus__10255	317
EEV_membrane_glycoprotein__YP_010085642__Akhmeta_virus__2200830	317
EEV_membrane_phosphoglycoprotein__YP_009408534__NY_014_poxvirus__2025360	185
EEV_membrane_phosphoglycoprotein__YP_010085612__Akhmeta_virus__2200830	184
EEV_membrane_phosphoglycoprotein__YP_233038__Vaccinia_virus__10245	185
EEV_phospholipase__YP_010085505__Akhmeta_virus__2200830	372
EEV_type-1_membrane_glycoprotein__YP_009408560__NY_014_poxvirus__2025360	319
EEV_type-I_membrane_glycoprotein__YP_010377162__Monkeypox_virus__10244	317
EEV_type-I_membrane_glycoprotein__YP_233069__Vaccinia_virus__10245	317
EGF-like_domain_protein__YP_010377006__Monkeypox_virus__10244	142
EIF2a-like_PKR_inhibitor__NP_938270__Yaba_monkey_tumor_virus__38804	88
ER-localized_membrane_protein_virion_core_protein__YP_009408443__NY_014_poxvirus__2025360	269
Early_transcription_factor_70_kDa_subunit__YP_010377100__Monkeypox_virus__10244	637
Early_transcription_factor_82_kDa_subunit__YP_010377115__Monkeypox_virus__10244	710
Entry-fusion_complex_essential_component__YP_010377089__Monkeypox_virus__10244	189
Entry_and_Fusion_IMV_protein__YP_009408472__NY_014_poxvirus__2025360	128
Entry_fusion_complex_component__YP_009408459__NY_014_poxvirus__2025360	111
Entry_fusion_complex_component__YP_009408467__NY_014_poxvirus__2025360	339
Entry_fusion_complex_component__YP_010377068__Monkeypox_virus__10244	111
Envelope_protein_A28_homolog__YP_010377136__Monkeypox_virus__10244	146
Envelope_surface_glycoprotein_gp120__NP_579894__Human_immunodeficiency_virus_1__11676	483
Envelope_transmembrane_domain__NP_579895__Human_immunodeficiency_virus_1__11676	345
Essential_IMV_membrane_protein__YP_009408513__NY_014_poxvirus__2025360	91
ExoN__YP_009047225__Middle_East_respiratory_syndrome-related_coronavirus__1335626	524
FEN1-like_nuclease__YP_009408462__NY_014_poxvirus__2025360	441
FEN1-like_nuclease__YP_010377071__Monkeypox_virus__10244	434
F_glycoprotein__NP_604440__Human_respirovirus_1__12730	555
G-protein_coupled_receptor__NP_050193__Human_betaherpesvirus_6B__32604	205
G-protein_coupled_receptor__NP_050232__Human_betaherpesvirus_6B__32604	301
G-protein_coupled_receptor_fragment__NP_597817__Human_betaherpesvirus_6B__32604	143
GCR__NP_042904__Human_betaherpesvirus_6A__32603	347
GCR__NP_042944__Human_betaherpesvirus_6A__32603	301
GPC_precursor_protein__YP_138543__Pichinde_virus__2905917	503
E6_protein__YP_009507311__Human_papillomavirus_204__1650736	136
E6_protein__YP_009508229__Human_papillomavirus_184__1472343	143
E7__YP_003858574__Human_papillomavirus_127__746832	98
E7__YP_004169264__Human_papillomavirus_type_128__931209	96
E7__YP_004169271__Human_papillomavirus_type_129__931210	97
E7__YP_004169278__Human_papillomavirus_type_131__909330	94
E7__YP_004169285__Human_papillomavirus_132__909331	92
E7__YP_004169292__Human_papillomavirus_134__909333	91
E7__YP_006908973__human_papillomavirus_166__1315259	101
E7__YP_008083732__Human_papillomavirus_154__1195796	100
E7__YP_008828146__Human_papillomavirus_167__1420545	97
E7__YP_009134744__Human_papillomavirus_KC5__1647924	93
E7__YP_009158853__Human_papillomavirus_201__1682340	98
E7__YP_009163892__Human_papillomavirus__10566	96
E7__YP_009175015__human_papillomavirus_163__1315262	99
E7__YP_009362307__Human_papillomavirus_type_85__652810	108
E7__YP_009507292__Human_papillomavirus_type_161__1315264	97
E7__YP_009507298__Human_papillomavirus_172__1434987	98
E7__YP_009507305__Human_papillomavirus_175__1434782	97
E7__YP_009508893__Human_papillomavirus_187__1851130	96
E7__YP_009551931__Gammapapillomavirus_sp.__2049444	97
E7__YP_009552549__Gammapapillomavirus_sp.__2049444	96
E7__YP_009552556__Gammapapillomavirus_sp.__2049444	98
E7__YP_009553020__Gammapapillomavirus_sp.__2049444	96
E7__YP_009553033__Gammapapillomavirus_sp.__2049444	86
E7__YP_009553510__Gammapapillomavirus_sp.__2049444	95
E7__YP_009553517__Gammapapillomavirus_sp.__2049444	96
E7__YP_009553523__Gammapapillomavirus_sp.__2049444	96
E7__YP_009553530__Gammapapillomavirus_sp.__2049444	96
E7_protein__NP_040307__Mupapillomavirus_1__334203	93
E6__YP_009362306__Human_papillomavirus_type_85__652810	157
E6__YP_009507291__Human_papillomavirus_type_161__1315264	140
E6__YP_009507297__Human_papillomavirus_172__1434987	183
E6__YP_009507304__Human_papillomavirus_175__1434782	147
E6__YP_009508892__Human_papillomavirus_187__1851130	139
E6__YP_009551930__Gammapapillomavirus_sp.__2049444	141
E6__YP_009552548__Gammapapillomavirus_sp.__2049444	141
E6__YP_009552555__Gammapapillomavirus_sp.__2049444	140
E6__YP_009553019__Gammapapillomavirus_sp.__2049444	141
E6__YP_009553032__Gammapapillomavirus_sp.__2049444	141
E6__YP_009553509__Gammapapillomavirus_sp.__2049444	140
E6__YP_009553516__Gammapapillomavirus_sp.__2049444	141
E4_ORFD__YP_005271203__bat_adenovirus_3__2758098	130
E4__YP_004169267__Human_papillomavirus_type_128__931209	163
E4__YP_004169274__Human_papillomavirus_type_129__931210	165
E4__YP_004169281__Human_papillomavirus_type_131__909330	130
E4__YP_004169295__Human_papillomavirus_134__909333	161
E4_ORF5__YP_009246442__Bat_mastadenovirus_WIV11__1788433	123
E4_ORF6_7__YP_009246368__Bat_mastadenovirus_WIV9__1788436	133
E4_ORF5__YP_009246403__Bat_mastadenovirus_WIV10__1788432	123
E4_ORF4__YP_009246443__Bat_mastadenovirus_WIV11__1788433	250
VP2__NP_817121__Torque_teno_virus_1__687340	286
VP2__YP_001111256__Betapolyomavirus_tertihominis__1891764	400
VP2__YP_001285485__WU_Polyomavirus__440266	415
VP29_precursor__NP_751900__Human_astrovirus__1868658	392
VP2_-1B-__NP_740527__Enterovirus_A__138948	254
VP1__YP_009725316__Norovirus_GIV__262897	578
V226__NP_620005__Cowpox_virus__10243	355
VETF-L__YP_009408506__NY_014_poxvirus__2025360	719
VHR1_or_CPXV025_protein__NP_619814__Cowpox_virus__10243	668
VITF-3_34kda_subunit__YP_009408507__NY_014_poxvirus__2025360	289
VITF-3_45kda_subunit__YP_009408523__NY_014_poxvirus__2025360	382
VITF-3_large_subunit__YP_010085602__Akhmeta_virus__2200830	382
VITF-3_small_subunit__YP_010085585__Akhmeta_virus__2200830	288
hexon__YP_009246356__Bat_mastadenovirus_WIV9__1788436	918
VP1__YP_009538341__Norovirus_GI_Hu_JP_2007_GI.P3_GI.3_Shimizu_KK2866__1529909	545
VP1__YP_002956100__Cosavirus_A__1330491	293
CPXV109_protein__NP_619894__Cowpox_virus__10243	1286
CPXV110_protein__NP_619895__Cowpox_virus__10243	171
CPXV111_protein__NP_619896__Cowpox_virus__10243	189
CPXV112_protein__NP_619897__Cowpox_virus__10243	325
CPXV113_protein__NP_619898__Cowpox_virus__10243	795
CPXV114_protein__NP_619899__Cowpox_virus__10243	206
CPXV115_protein__NP_619900__Cowpox_virus__10243	314
CPXV116_protein__NP_851586__Cowpox_virus__10243	60
CPXV117_protein__NP_619901__Cowpox_virus__10243	146
CPXV118_protein__NP_619902__Cowpox_virus__10243	844
CPXV119A_protein__NP_851587__Cowpox_virus__10243	80
CPXV119_protein__NP_619903__Cowpox_virus__10243	146
CPXV120_protein__NP_619904__Cowpox_virus__10243	237
CPXV121_protein__NP_619905__Cowpox_virus__10243	218
CPXV122_protein__NP_619906__Cowpox_virus__10243	785
CPXV123_protein__NP_619907__Cowpox_virus__10243	637
CPXV124_protein__NP_619908__Cowpox_virus__10243	161
CPXV125_protein__NP_619909__Cowpox_virus__10243	304
CPXV126_protein__NP_619910__Cowpox_virus__10243	213
CPXV127_protein__NP_619911__Cowpox_virus__10243	248
CPXV128_protein__NP_619912__Cowpox_virus__10243	631
CPXV129_protein__NP_619913__Cowpox_virus__10243	287
CPXV130_protein__NP_851588__Cowpox_virus__10243	72
CPXV131_protein__NP_619914__Cowpox_virus__10243	551
CPXV132_protein__NP_619915__Cowpox_virus__10243	150
CPXV133_protein__NP_619916__Cowpox_virus__10243	224
CPXV134_protein__NP_619917__Cowpox_virus__10243	76
CPXV135_protein__NP_619918__Cowpox_virus__10243	644
CPXV136_protein__NP_619919__Cowpox_virus__10243	295
CPXV137_protein__NP_619920__Cowpox_virus__10243	164
CPXV138_protein__NP_619921__Cowpox_virus__10243	372
CPXV139_protein__NP_619922__Cowpox_virus__10243	710
CPXV140_protein__NP_619923__Cowpox_virus__10243	288
CPXV141_protein__NP_619924__Cowpox_virus__10243	121
CPXV142_protein__NP_619925__Cowpox_virus__10243	894
CPXV143_protein__NP_619926__Cowpox_virus__10243	318
CPXV144_protein__NP_619927__Cowpox_virus__10243	190
CPXV145_protein__NP_619928__Cowpox_virus__10243	70
CPXV146_protein__NP_619929__Cowpox_virus__10243	90
